"4 main processes of wound healing and two attributes of each?"," <br>&nbsp - Haemostasis - constriction of vessels + thrombus <br>&nbsp - Inflammation - leak transudate + damage is removed <br>&nbsp - Proliferation - ECM (collagen) deposition + epithelialisation <br>&nbsp - Remodelling - collagen fibre remodelling + closure of wound"
"3 processes of collagen in remodelling?"," <br>&nbsp - realignment along tension lines --> cross-linking <br>&nbsp - replacement of type III collagens by type I <br>&nbsp - cross-linking"
"3 processes involving fibroblasts in proliferation, 3 details of the first 2?"," <br>&nbsp - cytokine release: FGF1/2 (angiogenic), PDGF, EGF <br>&nbsp - ECM deposition: GAGs, Fibronectin, Elastin <br>&nbsp - myofibroblast transition to constrict wound for closure"
"2 functions of each of neutrophils, lymphocytes, and macrophages?"," <br>&nbsp - protease + ROS production <br>&nbsp - immune response regulation + fibroblast activity <br>&nbsp - debris clearance + cytokine release to transition to proliferatie phase"
"5 words to describe bone fracture and mechanism?"," <br>&nbsp - complete <br>&nbsp - closed - skin intact <br>&nbsp - compound - skin surface <br>&nbsp - communited - bone splintered <br>&nbsp - displaced - misaligned ends"
"2 differences between osteoblasts and osteoclasts?"," <br>&nbsp - single vs multiple nuclei <br>&nbsp - osteoid synthesis/ calcification vs breakdown"
"3 characteristics of bone remodelling after 2-7 weeks?"," <br>&nbsp - lamellar bone replaces woven bone <br>&nbsp - marrow cavity restored <br>&nbsp - bone strength returns to normal"
"3 factors affecting bone healing?"," <br>&nbsp - infection <br>&nbsp - foreign bodies <br>&nbsp - mechanical (movement)"
"Glucocorticoids, NSAIDs and Aspirin mechanisms of healing delay?"," <br>&nbsp - antiinflammatory + collagen synthesis impairment <br>&nbsp - antiproliferative <br>&nbsp - antiplatelet"
"5 problems with wound healing and mechanisms?"," <br>&nbsp - ulceration - insufficient blood supply <br>&nbsp - dehiscence/ stretching - pressure <br>&nbsp - keloid - excess collagen deposition <br>&nbsp - proud flesh - exuberant granulation tissue <br>&nbsp - contracture - excess myofibroblast contraction"
"5 classes of antibiotics, with mechanisms of action and 1 example antibiotic for (2:2:1:1) of the groups?"," <br>&nbsp - Cell wall inhibitors	 <br>&nbsp - beta lactam (penicilin)- transpeptidase competitive inhibition	 <br>&nbsp - glycopeptides (vancomycin) - direct cross linking inhibition (large MW) <br>&nbsp - Protein synthesis inhibitors	 <br>&nbsp - macrolides (erythromycin)- prevents initial peptide bond formation and toxin synthesis	 <br>&nbsp - aminoglycosides (gentamicin)- inhibiton of translocation <br>&nbsp - Plasma membrane	 <br>&nbsp - polmyxin B - LPS interaction and membrane distraction <br>&nbsp - Nucleic acid synthesis inhibition	 <br>&nbsp - quinolones (Ciprofloxacin) - inhibit bacteria DNA supercoiling <br>&nbsp - Key enzyme inhibition	 <br>&nbsp - antifolates (Trimethoprim) - bacteria specific enzyme inhibition"
"3 considerations for drug efficacy and an example situation for each?"," <br>&nbsp - distribution - can enter the CSF for meningitis treatment <br>&nbsp - metabolism - half life etc? rendered as ineffective? <br>&nbsp - excretion - renal/liver impairment leads to toxicity?"
"3 types of random genetic events?"," <br>&nbsp - Acquisition of DNA <br>&nbsp - Mutation <br>&nbsp - Loss"
"5 types of antibiotic resistance?"," <br>&nbsp - enzymatic inactivation <br>&nbsp - bypass pathways <br>&nbsp - altered target site <br>&nbsp - increased efflux <br>&nbsp - decreased penetration"
"3 strategies to avoid resistance?"," <br>&nbsp - Narrow spectrum <br>&nbsp - Short duration <br>&nbsp - Reduce exposure"
"3 types of inflammation and mechanisms?"," <br>&nbsp - serous: plasma accumulate in cavities forming effusion <br>&nbsp - fibrinous: fibrin deposition from vascular permeability --> fibroblast stimulation and scarring <br>&nbsp - purulent: liquefactive tissue necrosis bacteria"
"3 characteristics and mechanisms in an abscess?"," <br>&nbsp - central liquefied region of necrotic cells <-- low oxygen <br>&nbsp - surrounding fibroblastic proliferation <-- chronic repair <br>&nbsp - vascular dilation <-- chronic inflammation"
"3 characteristics of chronic inflammation?"," <br>&nbsp - angiogenesis <br>&nbsp - mononuclear cell infiltrate? <br>&nbsp - fibrosis"
"3 characteristics of granulomatous inflammation and causes?"," <br>&nbsp - epitheloid cells: macrophages with indistinct cell borders <br>&nbsp - Langhans giant cells: fused histiocytes <br>&nbsp - Rim of lymphocytes/fibrous tissue: chronic inflammation"
"5 consequences, other than DNA damage, of cellular injury?"," <br>&nbsp - mitochondrial damage <br>&nbsp - loss of calcium homeostasis <br>&nbsp - accumulation of free radicals <br>&nbsp - membrane permeability alterations <br>&nbsp - ATP damage"
"3 characteristics of a neoplastic cell?"," <br>&nbsp - anchorage independent <br>&nbsp - unlimited growth <br>&nbsp - survival factor independent growth"
"3 morphological characteristics of adenocarcinoma?"," <br>&nbsp - loss of nuclear polarity <br>&nbsp - necrosis <br>&nbsp - desmoplastic/ fibrotic stroma"
"Functions of Tfh, Th1, Th2, Th17, the cytokines they release and the function of these?"," <br>&nbsp - B cell antibody regulation - IL21	 <br>&nbsp - B cell differentiation and proliferation into plasma cells <br>&nbsp - macrophage activation + CTL - IFN\\gamma (NK), TNF\\alpha	 <br>&nbsp - increase macrophage efficacy in killing internal pathogen (TB)	 <br>&nbsp - pro-inflammatory + anti-tumour <br>&nbsp - mast cell activation + eosinophils - IL4, IL13	 <br>&nbsp - favours IgE production	 <br>&nbsp - epithelial cell proliferation + mucus production <br>&nbsp - neutrophils - IL17	 <br>&nbsp - activates myeloid and stromal cells to produce GCSF, IL8"
"What are the 5 Gell-Coombs types of hypersensitivities with the main mechanisms of each and example diseases?"," <br>&nbsp - FcyR, allergies <br>&nbsp - IgM, Goodpasture's, HDN <br>&nbsp - complex, RA, SLE, PSGN <br>&nbsp - T, contact dermatitis, TB? <br>&nbsp - stimulate, Grave's"
"What are 3 (1 preformed) mediators released by mast cell degranulation and their immediate effects?"," <br>&nbsp - Histamine + LTs - smooth muscle, mucus <br>&nbsp - PGs - vasodilation, platelet, pain, fever"
"What are 5 (2 immuno-) therapies for allergies and their simple mechanisms?"," <br>&nbsp - H1R antagonists <br>&nbsp - Na chromoglycate mediator release <br>&nbsp - Corticosteroid supress proinflammatory transcription <br>&nbsp - anti-IgE mAb <br>&nbsp - SLIT"
"When is anti-RhD antibody administered and what is the mechanism of action?"," <br>&nbsp - 24 + 4 <br>&nbsp - mop up RhD antigen"
"How is antigen excess linked to rheumatoid arthritis?"," <br>&nbsp - soluble immune complex filter out <br>&nbsp - synovial join production <br>&nbsp - PMN leukocyte recruitment (C3a C5a)"
"3 main roles of lymphoid tissue and how structure reflects function?"," <br>&nbsp - **A**ntigens - reticular network for trapping <br>&nbsp - **I**nteractions - surface area cells slowed down <br>&nbsp - **M**icroenvironments - separation into compartments"
"The receptors (1), adhesion molecules (3), and locations (1) involved in naive T and B cell recruitment to lymphoid tissue?"," <br>&nbsp - homing receptor <br>&nbsp - selectins, ICAM, beta-integrin <br>&nbsp - HEV surface"
"3 steps involved in primary follicle transformation to secondary in lymph nodes and spleen?"," <br>&nbsp - Activation of B cell after cognate antigen binding <br>&nbsp - Migration to center of follicle <br>&nbsp - Germinal centre formation upon Tfh stimulation"
"5 steps and their location of mucosal antigen leading to creation of plasma cells?"," <br>&nbsp - M-cell antigen transport - Mucosa <br>&nbsp - B activation by APCs - Peyer's <br>&nbsp - Class switching - dark mLN <br>&nbsp - SHM - d mLN <br>&nbsp - FDC rescue - l mLN"
"5 locations IgA plasma cells visit in MALT circulation?"," <br>&nbsp - Lamina propria <br>&nbsp - Salivary glands + Lacrimal glands <br>&nbsp - Mammary gland <br>&nbsp - Genitourinary tract <br>&nbsp - Lung"
"2 specialised immune cells of lamina propria and their characteristics?"," <br>&nbsp - T cells - alpha/ beta <br>&nbsp - Mast cells - anti-parasitic"
"3 steps in dimeric IgA secretion in Glandular epithelial cell?"," <br>&nbsp - Binding to poly Ig receptor <br>&nbsp - Endocytic vacuole <br>&nbsp - Cleavage"
"3 components of the liver that maintain its tolerogenic environment?"," <br>&nbsp - IL-10 - anti-inflammatory <br>&nbsp - TGF-beta - anti-proliferative <br>&nbsp - Tregs - suppress immune response"
"Locations of central and peripheral tolerance for B and T cells?",""
"2 possible outcomes, the associated APC, and location for each of positive and negative selection?",""
"Progenitors of $\gamma\delta$-T cells and Tregs?",""
"3 outcomes for autoreactive T cell regulation and their mechanisms?"," <br>&nbsp - Anergy if activation without B7-CD28 costimulation <br>&nbsp - Ignorance of antigen in immune privilege <br>&nbsp - Apoptosis? eg cytokine deprivation? induced by Tregs?"
"3 actions of Tregs to suppress unnecessary immune responses?"," <br>&nbsp - CTLA-4 modulation of APCs to inactivate T cells <br>&nbsp - Cytokines (inhibitory) <br>&nbsp - Bind excess IL-2"
"Why does positive selection occur for T cells weakly bound to self-peptide?",""
"Starts and mechanisms for MHC-I and II pathways of antigen presentation?"," <br>&nbsp - TAP <br>&nbsp - invariant chain I$_i$"
"2 pathways involving microbes for autoimmunity?"," <br>&nbsp - molecular mimicry <br>&nbsp - induction of costimulators"
